Scores will be of the following order :
  Precision  Recall  F-measure
100   0.24666666666666667   0.74   0.37
101   0.2733333333333333   0.82   0.41
102   0.3333333333333333   1.0   0.5
103   0.28   0.84   0.42
104   0.26   0.78   0.39
105   0.25333333333333335   0.76   0.38
106   0.3333333333333333   1.0   0.5
107   0.32666666666666666   0.98   0.49
108   0.30434782608695654   0.84   0.44680851063829796
109   0.20666666666666667   0.62   0.31
110   0.31333333333333335   0.94   0.4699999999999999
111   0.3333333333333333   1.0   0.5
112   0.2866666666666667   0.86   0.43
113   0.32666666666666666   0.98   0.49
114   0.26666666666666666   0.8   0.4
115   0.28   0.84   0.42
116   0.32   0.96   0.4799999999999999
117   0.3   0.9   0.45000000000000007
118   0.3333333333333333   1.0   0.5
119   0.3333333333333333   0.56   0.41791044776119407
120   0.3181818181818182   0.84   0.4615384615384615
121   0.26   0.78   0.39
122   0.3333333333333333   0.58   0.42335766423357657
123   0.3333333333333333   1.0   0.5
124   0.3333333333333333   1.0   0.5
125   0.32   0.96   0.4799999999999999
126   0.3333333333333333   1.0   0.5
127   0.3333333333333333   1.0   0.5
128   0.26   0.78   0.39
129   0.18   0.54   0.27
130   0.28   0.84   0.42
131   0.28   0.84   0.42
132   0.29333333333333333   0.88   0.44
133   0.3333333333333333   1.0   0.5
134   0.2733333333333333   0.82   0.41
135   0.3333333333333333   1.0   0.5
136   0.3333333333333333   1.0   0.5
137   0.2733333333333333   0.82   0.41
138   0.26666666666666666   0.8   0.4
139   0.20666666666666667   0.62   0.31
140   0.28   0.84   0.42
141   0.32   0.96   0.4799999999999999
142   0.3333333333333333   1.0   0.5
143   0.31333333333333335   0.94   0.4699999999999999
144   0.24666666666666667   0.74   0.37
145   0.32666666666666666   0.98   0.49
146   0.32666666666666666   0.98   0.49
147   0.29333333333333333   0.88   0.44
148   0.24666666666666667   0.74   0.37
149   0.3333333333333333   0.6086956521739131   0.4307692307692308
150   0.3333333333333333   1.0   0.5
151   0.2866666666666667   0.86   0.43
